id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyAzPBWC3TwAkGppS94AaABAg	1	24	2020-01-13 08:32:29	Google User	Never going to happen, Australia loves selling dirty coal and criticising other countries for pollution	UCvII3pfHcnqJHSMwXaBpG1w	http://www.youtube.com/channel/UCvII3pfHcnqJHSMwXaBpG1w	0		
UgyAzPBWC3TwAkGppS94AaABAg.93ii9Zxi-7R9FGXOd3VEJz		0	2020-10-26 06:48:26	Un- Deniable	Yeh because Coal is one of our largest exports...? 🤦‍♂️	UC_7Fbh27K1fTQnBewI580rw	http://www.youtube.com/channel/UC_7Fbh27K1fTQnBewI580rw	1	UgyAzPBWC3TwAkGppS94AaABAg	Google User
UgwwAWhdFA-l4DUtv0N4AaABAg	11	89	2019-12-21 20:12:04	Diogenes' Lantern	Sky News Australia is going to love this.	UCjqaaY4-edrl_wJyosxeSCA	http://www.youtube.com/channel/UCjqaaY4-edrl_wJyosxeSCA	0		
UgwwAWhdFA-l4DUtv0N4AaABAg.92ojwMWaXrg93ikYONGZCm		0	2020-01-13 08:53:20	Gary Sarela	@Trent Gustus There's nothing wrong with the U.N., but maybe fee and dividend is more of your kind of thing. https://en.wikipedia.org/wiki/Carbon_fee_and_dividend	UCTnt1ZxGFjOqQbYo4X7mRxg	http://www.youtube.com/channel/UCTnt1ZxGFjOqQbYo4X7mRxg	1	UgwwAWhdFA-l4DUtv0N4AaABAg	Diogenes' Lantern
UgwwAWhdFA-l4DUtv0N4AaABAg.92ojwMWaXrg93hdByRaR5b		0	2020-01-12 22:29:52	Trent Gustus	@Gary Sarela I suppose if we had just paid carbon taxes to the UN.. the fires wouldn't happen then.	UC1nHt-zN4s_2pvf7_ogLOGQ	http://www.youtube.com/channel/UC1nHt-zN4s_2pvf7_ogLOGQ	1	UgwwAWhdFA-l4DUtv0N4AaABAg	Diogenes' Lantern
UgwwAWhdFA-l4DUtv0N4AaABAg.92ojwMWaXrg93KfCwPgc3e		2	2020-01-03 15:05:42	The GamingNacho	I love Sky News Australia	UCJ7Q8Wny32lIWxYiZRrn7OA	http://www.youtube.com/channel/UCJ7Q8Wny32lIWxYiZRrn7OA	1	UgwwAWhdFA-l4DUtv0N4AaABAg	Diogenes' Lantern
UgwwAWhdFA-l4DUtv0N4AaABAg.92ojwMWaXrg93Ils9MuTL4		0	2020-01-02 21:25:25	Diogenes' Lantern	@peter havord out of curiosity, by whom?	UCjqaaY4-edrl_wJyosxeSCA	http://www.youtube.com/channel/UCjqaaY4-edrl_wJyosxeSCA	1	UgwwAWhdFA-l4DUtv0N4AaABAg	Diogenes' Lantern
UgwwAWhdFA-l4DUtv0N4AaABAg.92ojwMWaXrg93EvbdXm0Pm		2	2020-01-01 09:33:35	peter havord	Sky News Australia is known as journalism's 'Crucible of Hate'	UCa4OyDWQCvOD26x2B1AcOmQ	http://www.youtube.com/channel/UCa4OyDWQCvOD26x2B1AcOmQ	1	UgwwAWhdFA-l4DUtv0N4AaABAg	Diogenes' Lantern
UgwwAWhdFA-l4DUtv0N4AaABAg.92ojwMWaXrg93D9-TWoSTh		0	2019-12-31 17:00:50	johnny foreigner	@Henry Smith Go and put out the fires so, and stop wasting time commenting here.	UCaV_BqIUGY2dHvFA_hjas-Q	http://www.youtube.com/channel/UCaV_BqIUGY2dHvFA_hjas-Q	1	UgwwAWhdFA-l4DUtv0N4AaABAg	Diogenes' Lantern
UgwwAWhdFA-l4DUtv0N4AaABAg.92ojwMWaXrg939wdDFSIBq		5	2019-12-30 11:06:20	Ted Hennicke	@Henry Smith Take your coping mechanisms elsewhere. Climate scientists have been saying for years and years that this would happen, and now it's happening.	UCAxoCEyOjFuSpuVj-dUSYmQ	http://www.youtube.com/channel/UCAxoCEyOjFuSpuVj-dUSYmQ	1	UgwwAWhdFA-l4DUtv0N4AaABAg	Diogenes' Lantern
